"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"117";"11_2_6_10";956;123;"KOB";"Nesogordonia papaverifera";"Kotibe"
"118";"11_2_7_6";184;650;"BA";"Celtis mildbraedii";"Ba"
"119";"11_2_8_7";168;380;"LOT";"Sterculia rhinopetala";"Lotofa"
"120";"11_2_9_5";164;850;"IRO";"Chlorophora regia, C. excelsa";"Iroko"
"121";"11_3_14_6";654;275;"EHO";"Ricinodendron africanum";"Eho"
"122";"11_3_14_7";656;269;"EHO";"Ricinodendron africanum";"Eho"
"123";"11_3_14_9";753;291;"EHO";"Ricinodendron africanum";"Eho"
"124";"11_3_17_5";862;550;"EHO";"Ricinodendron africanum";"Eho"
"125";"11_3_20_3";162;750;"OBA";"Bombax buonopozense";"Oba (Kapokier)"
"126";"11_3_20_4";163;500;"KOB";"Nesogordonia papaverifera";"Kotibe"
"127";"11_3_20_5";164;600;"BET";"Mansonia altissima";"Bete"
"128";"11_3_25_9";207;267;"BI";"Eribrema oblonga";"Bi ou Eyong"
"129";"11_4_12_11";181;452;"BET";"Mansonia altissima";"Bete"
"130";"11_4_12_4";180;536;"BET";"Mansonia altissima";"Bete"
"131";"11_4_12_9";950;322;"FRO";"Ceiba pentandra";"Fromager"
"132";"11_4_14_10";905;116;"ASA";"Celtis zenkeri";"Asan"
"133";"11_4_14_6";191;354;"LON";"Celtis adolphi-frederici";"Lohonfé"
"134";"11_4_14_8";904;164;"LOL";"Lannea welwitschii";"Loloti"
"135";"11_4_15_12";851;162;"ASA";"Celtis zenkeri";"Asan"
"136";"11_4_15_2";953;229;"BI";"Eribrema oblonga";"Bi ou Eyong"
"137";"11_4_15_5";906;154;"LOL";"Lannea welwitschii";"Loloti"
"138";"11_4_18_2";218;1000;"SAM";"Triplochiton scleroxylon";"Samba"
"139";"11_4_19_5";264;750;"SAM";"Triplochiton scleroxylon";"Samba"
"140";"11_4_24_3";285;600;"AKT";"Gambeya africana";"Akatio"
"141";"11_4_25_1";209;750;"SAM";"Triplochiton scleroxylon";"Samba"
"142";"11_4_5_14";127;250;"KOB";"Nesogordonia papaverifera";"Kotibe"
"143";"11_4_5_9";130;550;"BI";"Eribrema oblonga";"Bi ou Eyong"
"144";"11_4_6_10";166;427;"LOT";"Sterculia rhinopetala";"Lotofa"
"145";"11_4_6_12";500;570;"EHO";"Ricinodendron africanum";"Eho"
"146";"11_4_6_4";902;225;"EHO";"Ricinodendron africanum";"Eho"
"147";"11_4_6_9";164;364;"OBA";"Bombax buonopozense";"Oba (Kapokier)"
"148";"11_4_7_10";148;473;"AKT";"Gambeya africana";"Akatio"
"149";"11_4_7_5";150;230;"KOB";"Nesogordonia papaverifera";"Kotibe"
"150";"12_1_10_1";154;260;"LOT";"Sterculia rhinopetala";"Lotofa"
"151";"12_1_10_2";153;800;"KOT";"Pterygota macrocarpa";"Koto"
"152";"12_1_15_4";900;195;"FRO";"Ceiba pentandra";"Fromager"
"153";"12_1_16_11";244;500;"AKT";"Gambeya africana";"Akatio"
"154";"12_1_16_6";503;800;"EHO";"Ricinodendron africanum";"Eho"
"155";"12_1_8_5";164;192;"BA";"Celtis mildbraedii";"Ba"
"156";"12_1_9_2";163;276;"BA";"Celtis mildbraedii";"Ba"
"157";"12_1_9_4";161;600;"BA";"Celtis mildbraedii";"Ba"
"158";"12_1_9_5";800;450;"FRO";"Ceiba pentandra";"Fromager"
"159";"12_2_1_10";857;236;"EHO";"Ricinodendron africanum";"Eho"
"160";"12_2_1_11";117;340;"BA";"Celtis mildbraedii";"Ba"
"161";"12_2_1_13";112;270;"BA";"Celtis mildbraedii";"Ba"
"162";"12_2_1_14";111;177;"BA";"Celtis mildbraedii";"Ba"
"163";"12_2_1_16";110;541;"BA";"Celtis mildbraedii";"Ba"
"164";"12_2_1_21";103;362;"BA";"Celtis mildbraedii";"Ba"
"165";"12_2_1_6";106;367;"BA";"Celtis mildbraedii";"Ba"
"166";"12_2_1_8";109;212;"BA";"Celtis mildbraedii";"Ba"
"167";"12_2_12_10";215;900;"SAM";"Triplochiton scleroxylon";"Samba"
"168";"12_2_13_2";750;162;"BA";"Celtis mildbraedii";"Ba"
"169";"12_2_17_1";279;465;"AKT";"Gambeya africana";"Akatio"
"170";"12_2_18_5";277;343;"LOT";"Sterculia rhinopetala";"Lotofa"
"171";"12_2_19_2";268;900;"OBA";"Bombax buonopozense";"Oba (Kapokier)"
"172";"12_2_19_4";269;550;"AKT";"Gambeya africana";"Akatio"
"173";"12_2_20_4";258;517;"BET";"Mansonia altissima";"Bete"
"174";"12_2_23_4";754;273;"FRO";"Ceiba pentandra";"Fromager"
"175";"12_2_8_5";184;173;"KOB";"Nesogordonia papaverifera";"Kotibe"
"176";"12_2_9_7";178;225;"BA";"Celtis mildbraedii";"Ba"
"177";"12_3_11_10";800;600;"EHO";"Ricinodendron africanum";"Eho"
"178";"12_3_14_5";218;900;"SAM";"Triplochiton scleroxylon";"Samba"
"179";"12_3_16_2";700;223;"TIA";"Entandrophragma angolense";"Tiama"
"180";"12_3_17_12";860;208;"EHO";"Ricinodendron africanum";"Eho"
"181";"12_3_17_7";276;700;"SAM";"Triplochiton scleroxylon";"Samba"
"182";"12_3_19_10";306;159;"BA";"Celtis mildbraedii";"Ba"
"183";"12_3_19_6";802;292;"FRO";"Ceiba pentandra";"Fromager"
"184";"12_3_20_12";247;253;"BA";"Celtis mildbraedii";"Ba"
"185";"12_3_20_4";701;190;"AMZ";"Guibourtia ehie";"Amazakoué"
"186";"12_3_6_1";192;500;"BA";"Celtis mildbraedii";"Ba"
"187";"12_4_10_6";161;470;"BA";"Celtis mildbraedii";"Ba"
"188";"12_4_10_7";160;270;"ETI";"Copaïfera salikounda";"Etimoé"
"189";"12_4_11_7";226;177;"DIF";"Morus mesozygia";"Difou"
"190";"12_4_12_6";238;550;"SAM";"Triplochiton scleroxylon";"Samba"
"191";"12_4_14_10";268;194;"BA";"Celtis mildbraedii";"Ba"
"192";"12_4_14_12";336;214;"BA";"Celtis mildbraedii";"Ba"
"193";"12_4_14_14";261;193;"BA";"Celtis mildbraedii";"Ba"
"194";"12_4_14_8";265;1500;"LON";"Celtis adolphi-frederici";"Lohonfé"
"195";"12_4_15_10";273;264;"BA";"Celtis mildbraedii";"Ba"
"196";"12_4_15_2";269;316;"LOT";"Sterculia rhinopetala";"Lotofa"
"197";"12_4_16_1";370;391;"ABO";"Entandrophragma cylindricum";"Sapelli"
"198";"12_4_16_3";361;244;"KOB";"Nesogordonia papaverifera";"Kotibe"
"199";"12_4_16_5";362;500;"BA";"Celtis mildbraedii";"Ba"
"200";"12_4_17_5";331;431;"LOT";"Sterculia rhinopetala";"Lotofa"
"201";"12_4_21_7";364;197;"FRO";"Ceiba pentandra";"Fromager"
"202";"12_4_21_8";363;341;"BA";"Celtis mildbraedii";"Ba"
"203";"12_4_23_4";914;295;"BET";"Mansonia altissima";"Bete"
"204";"12_4_3_3";123;258;"BA";"Celtis mildbraedii";"Ba"
"205";"12_4_4_1";140;257;"BA";"Celtis mildbraedii";"Ba"
"206";"12_4_4_7";137;200;"BA";"Celtis mildbraedii";"Ba"
"207";"12_4_6_4";211;370;"BA";"Celtis mildbraedii";"Ba"
"208";"12_4_6_7";212;243;"BA";"Celtis mildbraedii";"Ba"
"209";"12_4_7_10";198;231;"BA";"Celtis mildbraedii";"Ba"
"210";"12_4_7_2";200;379;"BA";"Celtis mildbraedii";"Ba"
"211";"12_4_7_5";205;333;"BA";"Celtis mildbraedii";"Ba"
"212";"12_4_7_6";199;340;"BA";"Celtis mildbraedii";"Ba"
